"","LGA","Ward","time","count"
"2","Sanga","Aboro",2023-10-01,2
"14","Kachia","Awon",2023-10-01,2
"17","Kaduna_South","Badiko",2023-10-01,2
"18","Kauru","Badurum",2023-10-01,2
"22","Igabi","Birnin_Yero",2023-10-01,2
"23","Kachia","Bishini",2023-10-01,4
"39","Giwa","Danmahawayi",2023-10-01,2
"42","Kauru","Dawaki",2023-10-01,3
"45","Kachia","Doka",2023-10-01,2
"54","Giwa","Galadimawa",2023-10-01,2
"55","Soba","Gamagira",2023-10-01,4
"60","Markafi","Gazara",2023-10-01,2
"70","Markafi","Gubuchi",2023-10-01,3
"78","Kaduna_North","Hayin Banki",2023-10-01,2
"85","Jemaa","Jagindi",2023-10-01,2
"86","Ikara","Jamfalan",2023-10-01,2
"89","Sabon_Gari","Jushi",2023-10-01,5
"92","Kaura","Kadarko",2023-10-01,2
"99","Giwa","Kakangi",2023-10-01,2
"100","Chikun","Kakau",2023-10-01,4
"114","Kudan","Kauran Wali South",2023-10-01,2
"118","Lere","Kayarda",2023-10-01,2
"119","Igabi","Kerawa",2023-10-01,2
"120","Giwa","Kidandan",2023-10-01,2
"122","Kaura","Kpak",2023-10-01,2
"124","Kudan","Kudan",2023-10-01,2
"125","Lere","Kudaru",2023-10-01,2
"136","Birnin_Gwari","Kuyello",2023-10-01,2
"140","Soba","Kwasallo",2023-10-01,2
"152","Soba","Maigana",2023-10-01,2
"154","Kauru","Makami",2023-10-01,2
"155","Markafi","Makarfi",2023-10-01,4
"156","Kaduna_South","Makera",2023-10-01,2
"159","Kajuru","Maro",2023-10-01,2
"175","Birnin_Gwari","Randagi",2023-10-01,3
"179","Igabi","Rigasa",2023-10-01,2
"183","Jaba","Sab-Zuro",2023-10-01,2
"189","Kaduna_South","Sabon Gari South",2023-10-01,7
"195","Kaduna_North","Sardauna",2023-10-01,2
"204","Kaduna_South","Television",2023-10-01,2
"205","Kaduna_South","Tudun Nupawa",2023-10-01,2
"206","Markafi","Tudun Wada",2023-10-01,2
"207","Zaria","Tudun Wada",2023-10-01,2
"208","Kaduna_South","Tudun Wada Nrth",2023-10-01,3
"209","Kaduna_South","Tudun Wada South",2023-10-01,2
"210","Zaria","Tukur Tukur",2023-10-01,2
"214","Zangon_Kataf","Ung Rimi",2023-10-01,2
"216","Zaria","Unguwan Juma",2023-10-01,2
"227","Sabon_Gari","Zabi",2023-10-01,3
"229","Igabi","Zangon Aya",2023-10-01,3
"230","Kaura","Zankan",2023-10-01,2
"234","Lere","Abadawa",2023-11-01,3
"235","Sanga","Aboro",2023-11-01,4
"243","Kagarko","Aribi",2023-11-01,3
"249","Kaduna_South","Badiko",2023-11-01,2
"252","Sabon_Gari","Basawa",2023-11-01,5
"253","Birnin_Gwari","Birnin Gwari 2",2023-11-01,3
"261","Sabon_Gari","Chikaji",2023-11-01,3
"274","Soba","Danwata",2023-11-01,2
"282","Jaba","Fada",2023-11-01,4
"286","Giwa","Galadimawa",2023-11-01,2
"287","Soba","Gamagira",2023-11-01,4
"288","Giwa","Gangara",2023-11-01,2
"292","Markafi","Gazara",2023-11-01,3
"296","Jemaa","Gidan Waya",2023-11-01,3
"298","Markafi","Gimi",2023-11-01,2
"304","Lere","Gure/Kahugu",2023-11-01,2
"307","Igabi","Gwaraji",2023-11-01,2
"309","Sabon_Gari","Hanwa",2023-11-01,2
"332","Kajuru","Kajuru",2023-11-01,2
"334","Giwa","Kakangi",2023-11-01,2
"338","Kajuru","Kallah",2023-11-01,2
"349","Kudan","Kauran Wali North",2023-11-01,2
"351","Kauru","Kauru East",2023-11-01,2
"360","Kudan","Kudan",2023-11-01,2
"361","Lere","Kudaru",2023-11-01,2
"362","Kajuru","Kufana",2023-11-01,2
"364","Chikun","Kujama",2023-11-01,2
"369","Kachia","Kurimin Musa",2023-11-01,2
"371","Birnin_Gwari","Kutemeshi",2023-11-01,2
"379","Lere","Lazuru",2023-11-01,2
"380","Lere","Lere",2023-11-01,2
"384","Birnin_Gwari","Magajin Gari 1",2023-11-01,2
"385","Kubau","Mah",2023-11-01,4
"389","Kauru","Makami",2023-11-01,2
"390","Kaduna_South","Makera",2023-11-01,2
"392","Kaura","Manchok",2023-11-01,2
"395","Sabon_Gari","Muchia",2023-11-01,4
"409","Lere","Ramin Kura",2023-11-01,2
"423","Kaduna_South","Sabon Gari  North",2023-11-01,2
"424","Kaduna_South","Sabon Gari South",2023-11-01,4
"425","Kaduna_South","Sabon Gari West",2023-11-01,2
"431","Kaduna_North","Sardauna",2023-11-01,2
"438","Jemaa","Takau",2023-11-01,2
"441","Kaduna_South","Tudun Nupawa",2023-11-01,6
"444","Kaduna_South","Tudun Wada Nrth",2023-11-01,2
"446","Zaria","Tukur Tukur",2023-11-01,2
"452","Zaria","Unguwan Juma",2023-11-01,2
"463","Kudan","Zabi",2023-11-01,2
"466","Igabi","Zangon Aya",2023-11-01,3
"472","Sanga","Aboro",2023-12-01,2
"480","Jemaa","Asso",2023-12-01,4
"482","Ikara","Auchan",2023-12-01,2
"486","Kaduna_South","Badiko",2023-12-01,2
"488","Jemaa","Barde",2023-12-01,2
"490","Sabon_Gari","Basawa",2023-12-01,10
"492","Kachia","Bishini",2023-12-01,2
"498","Sabon_Gari","Chikaji",2023-12-01,8
"502","Kauru","Damakasuwa",2023-12-01,2
"508","Markafi","Danguzuri",2023-12-01,3
"518","Jaba","Fada",2023-12-01,3
"519","Kaura","Fada",2023-12-01,2
"522","Chikun","G/Gwada",2023-12-01,2
"524","Soba","Gamagira",2023-12-01,4
"529","Birnin_Gwari","Gayam",2023-12-01,2
"532","Zangon_Kataf","Gidan Jatau",2023-12-01,2
"536","Markafi","Gimi",2023-12-01,2
"543","Markafi","Gwanki",2023-12-01,2
"548","Kubau","Haskiya",2023-12-01,3
"552","Kagarko","Iddah",2023-12-01,3
"553","Kajuru","Idon",2023-12-01,2
"557","Jemaa","Jagindi",2023-12-01,2
"558","Ikara","Jamfalan",2023-12-01,2
"560","Sabon_Gari","Jushi",2023-12-01,5
"561","Kaduna_North","Kabala",2023-12-01,2
"567","Kagarko","Kagarko South",2023-12-01,2
"568","Jemaa","Kagoma",2023-12-01,2
"569","Kajuru","Kajuru",2023-12-01,2
"579","Kubau","Kargi",2023-12-01,5
"582","Kachia","Katari",2023-12-01,2
"594","Soba","Kinkiba",2023-12-01,2
"602","Kagarko","Kukui",2023-12-01,2
"612","Birnin_Gwari","Kuyello",2023-12-01,3
"616","Soba","Kwasallo",2023-12-01,3
"622","Kudan","Lokoro",2023-12-01,2
"624","Birnin_Gwari","Magajin Gari 1",2023-12-01,2
"626","Kubau","Mah",2023-12-01,3
"634","Kajuru","Maro",2023-12-01,3
"636","Sabon_Gari","Muchia",2023-12-01,3
"637","Sanga","Nandu",2023-12-01,2
"640","Jaba","Nduya",2023-12-01,2
"656","Ikara","Rumi",2023-12-01,3
"660","Lere","Sabon Birni",2023-12-01,2
"663","Kaduna_South","Sabon Gari  North",2023-12-01,4
"664","Kaduna_South","Sabon Gari South",2023-12-01,4
"665","Kaduna_South","Sabon Gari West",2023-12-01,5
"669","Jaba","Samban",2023-12-01,2
"678","Jemaa","Takau",2023-12-01,4
"679","Kajuru","Tantatu",2023-12-01,2
"681","Kaduna_South","Tudun Nupawa",2023-12-01,5
"683","Zaria","Tudun Wada",2023-12-01,2
"684","Kaduna_South","Tudun Wada Nrth",2023-12-01,2
"686","Zaria","Tukur Tukur",2023-12-01,2
"692","Zaria","Unguwan Juma",2023-12-01,2
"695","Kaduna_North","Unguwar Sarki",2023-12-01,2
"698","Sanga","Wasa",2023-12-01,2
"700","Zaria","Wucciciri",2023-12-01,2
"705","Igabi","Zangon Aya",2023-12-01,3
"707","Zangon_Kataf","Zonkwa",2023-12-01,2
"708","Zangon_Kataf","Zonzon",2023-12-01,2
"710","Lere","Abadawa",2024-01-01,3
"711","Sanga","Aboro",2024-01-01,2
"719","Kagarko","Aribi",2024-01-01,6
"722","Ikara","Auchan",2024-01-01,2
"730","Sabon_Gari","Basawa",2024-01-01,5
"731","Igabi","Birnin_Yero",2024-01-01,2
"739","Jaba","Chori",2024-01-01,2
"742","Kauru","Damakasuwa",2024-01-01,2
"744","Kubau","Damau",2024-01-01,2
"746","Lere","Dan-Alhaji",2024-01-01,2
"747","Markafi","Dandamisa",2024-01-01,2
"750","Soba","Danwata",2024-01-01,2
"753","Sabon_Gari","Dogarawa",2024-01-01,3
"755","Kachia","Doka",2024-01-01,2
"757","Kubau","Dutsen-Wai",2024-01-01,3
"763","Chikun","G/Gwada",2024-01-01,2
"765","Soba","Gamagira",2024-01-01,6
"768","Soba","Garu",2024-01-01,2
"769","Lere","Garu/ Mariri",2024-01-01,2
"771","Markafi","Gazara",2024-01-01,2
"777","Soba","Gimba",2024-01-01,2
"778","Markafi","Gimi",2024-01-01,2
"780","Jemaa","Godo Godo",2024-01-01,2
"782","Markafi","Gubuchi",2024-01-01,3
"784","Lere","Gure/Kahugu",2024-01-01,2
"788","Zaria","Gyallesu",2024-01-01,2
"790","Kubau","Haskiya",2024-01-01,4
"792","Kudan","Hunkuyi",2024-01-01,2
"793","Giwa","Idasu",2024-01-01,2
"797","Ikara","Ikara",2024-01-01,2
"798","Zangon_Kataf","Ikulu",2024-01-01,2
"800","Sabon_Gari","Jamaa",2024-01-01,2
"802","Kagarko","Jere North",2024-01-01,2
"804","Sabon_Gari","Jushi",2024-01-01,10
"809","Jemaa","Kafanchan B",2024-01-01,2
"819","Zangon_Kataf","Kamantan",2024-01-01,2
"822","Kubau","Kareh",2024-01-01,2
"823","Kubau","Kargi",2024-01-01,8
"831","Kudan","Kauran Wali South",2024-01-01,2
"836","Giwa","Kidandan",2024-01-01,2
"837","Soba","Kinkiba",2024-01-01,2
"839","Kubau","Kubau",2024-01-01,4
"841","Lere","Kudaru",2024-01-01,2
"843","Zaria","Kufena",2024-01-01,2
"851","Ikara","Kurmin Kogi",2024-01-01,2
"855","Birnin_Gwari","Kuyello",2024-01-01,3
"862","Lere","Lazuru",2024-01-01,4
"869","Kubau","Mah",2024-01-01,4
"871","Soba","Maigana",2024-01-01,2
"872","Jemaa","Maigizo",2024-01-01,2
"891","Ikara","Pala",2024-01-01,2
"894","Lere","Ramin Kura",2024-01-01,2
"901","Ikara","Rumi",2024-01-01,2
"903","Jaba","Sab-Zuro",2024-01-01,2
"907","Kudan","Sabon Gari",2024-01-01,3
"915","Lere","Saminaka",2024-01-01,3
"916","Kaduna_North","Sardauna",2024-01-01,2
"918","Ikara","Saya Saya",2024-01-01,2
"924","Jemaa","Takau",2024-01-01,2
"925","Kajuru","Tantatu",2024-01-01,2
"936","Zangon_Kataf","Ung Rimi",2024-01-01,2
"937","Zaria","Unguwan Fatika",2024-01-01,3
"943","Kaduna_South","Ungwawan Sanusi",2024-01-01,2
"946","Zaria","Wucciciri",2024-01-01,4
"948","Chikun","Yelwa",2024-01-01,2
"950","Sabon_Gari","Zabi",2024-01-01,3
"952","Zangon_Kataf","Zaman Dabo",2024-01-01,2
"953","Zangon_Kataf","Zango Urban",2024-01-01,2
"957","Zangon_Kataf","Zonzon",2024-01-01,2
"958","Kubau","Zuntu",2024-01-01,2
"959","Lere","Abadawa",2024-02-01,2
"965","Kubau","Anchau",2024-02-01,2
"966","Sabon_Gari","Anguwan Gabas",2024-02-01,2
"972","Ikara","Auchan",2024-02-01,2
"980","Sabon_Gari","Basawa",2024-02-01,3
"989","Chikun","Chikun",2024-02-01,3
"993","Kauru","Damakasuwa",2024-02-01,3
"1001","Soba","Danwata",2024-02-01,2
"1002","Kauru","Dari",2024-02-01,3
"1004","Sabon_Gari","Dogarawa",2024-02-01,2
"1008","Kubau","Dutsen-Wai",2024-02-01,4
"1016","Soba","Gamagira",2024-02-01,6
"1018","Kudan","Garu",2024-02-01,2
"1027","Soba","Gimba",2024-02-01,2
"1028","Markafi","Gimi",2024-02-01,3
"1035","Sanga","Gwantu",2024-02-01,2
"1042","Giwa","Idasu",2024-02-01,2
"1045","Igabi","Igabi",2024-02-01,2
"1046","Ikara","Ikara",2024-02-01,3
"1047","Zangon_Kataf","Ikulu",2024-02-01,2
"1048","Jemaa","Jagindi",2024-02-01,2
"1049","Sabon_Gari","Jamaa",2024-02-01,2
"1050","Ikara","Jamfalan",2024-02-01,2
"1053","Sabon_Gari","Jushi",2024-02-01,7
"1055","Kachia","Kachia",2024-02-01,2
"1056","Kaura","Kadarko",2024-02-01,2
"1060","Kagarko","Kagarko South",2024-02-01,2
"1072","Kubau","Kargi",2024-02-01,3
"1077","Kaura","Kaura",2024-02-01,2
"1082","Kauru","Kauru West",2024-02-01,2
"1083","Kaduna_North","Kawo",2024-02-01,2
"1084","Lere","Kayarda",2024-02-01,2
"1087","Soba","Kinkiba",2024-02-01,2
"1099","Kachia","Kurimin Musa",2024-02-01,2
"1101","Ikara","Kurmin Kogi",2024-02-01,2
"1105","Birnin_Gwari","Kuyello",2024-02-01,2
"1110","Kauru","Kwassam",2024-02-01,2
"1112","Lere","Lazuru",2024-02-01,2
"1113","Lere","Lere",2024-02-01,3
"1114","Zaria","Limancin Kona",2024-02-01,2
"1118","Kubau","Mah",2024-02-01,6
"1120","Soba","Maigana",2024-02-01,2
"1125","Kaura","Mallagum",2024-02-01,2
"1135","Sanga","Ninzo North",2024-02-01,2
"1140","Ikara","Pala",2024-02-01,2
"1144","Birnin_Gwari","Randagi",2024-02-01,2
"1147","Igabi","Rigachikun",2024-02-01,2
"1150","Ikara","Rumi",2024-02-01,2
"1151","Jaba","Sab-Chem",2024-02-01,2
"1156","Kudan","Sabon Gari",2024-02-01,4
"1157","Kaduna_South","Sabon Gari  North",2024-02-01,2
"1160","Chikun","Sabon Tasha",2024-02-01,2
"1163","Lere","Saminaka",2024-02-01,2
"1166","Ikara","Saya Saya",2024-02-01,2
"1168","Giwa","Shika",2024-02-01,2
"1169","Soba","Soba",2024-02-01,2
"1174","Kaduna_South","Television",2024-02-01,3
"1177","Zaria","Tudun Wada",2024-02-01,2
"1178","Kaduna_South","Tudun Wada Nrth",2024-02-01,2
"1184","Zangon_Kataf","Ung Rimi",2024-02-01,2
"1185","Zaria","Unguwan Fatika",2024-02-01,2
"1198","Zangon_Kataf","Zaman Dabo",2024-02-01,3
"1199","Zangon_Kataf","Zango Urban",2024-02-01,3
"1203","Zangon_Kataf","Zonzon",2024-02-01,2
"1204","Kubau","Zuntu",2024-02-01,3
"1212","Sabon_Gari","Anguwan Gabas",2024-03-01,2
"1214","Sanga","Arak",2024-03-01,2
"1216","Jemaa","Asso",2024-03-01,2
"1218","Ikara","Auchan",2024-03-01,2
"1245","Markafi","Danguzuri",2024-03-01,2
"1247","Soba","Danwata",2024-03-01,2
"1250","Sabon_Gari","Dogarawa",2024-03-01,3
"1253","Kudan","Doka",2024-03-01,2
"1255","Zaria","Dutsen Abba",2024-03-01,2
"1259","Igabi","Fanshanu",2024-03-01,2
"1262","Soba","Gamagira",2024-03-01,6
"1266","Lere","Garu/ Mariri",2024-03-01,2
"1271","Kachia","Gidan Tagwai",2024-03-01,2
"1273","Soba","Gimba",2024-03-01,2
"1274","Markafi","Gimi",2024-03-01,2
"1275","Giwa","Giwa",2024-03-01,2
"1278","Markafi","Gubuchi",2024-03-01,2
"1280","Lere","Gure/Kahugu",2024-03-01,3
"1284","Zaria","Gyallesu",2024-03-01,2
"1287","Kaduna_North","Hayin Banki",2024-03-01,2
"1293","Ikara","Ikara",2024-03-01,4
"1296","Sabon_Gari","Jamaa",2024-03-01,2
"1299","Kagarko","Jere South",2024-03-01,2
"1300","Sabon_Gari","Jushi",2024-03-01,6
"1314","Kajuru","Kallah",2024-03-01,2
"1319","Kubau","Kargi",2024-03-01,2
"1322","Kaura","Kaura",2024-03-01,2
"1323","Zaria","Kaura",2024-03-01,2
"1331","Giwa","Kidandan",2024-03-01,2
"1332","Soba","Kinkiba",2024-03-01,2
"1346","Ikara","Kurmin Kogi",2024-03-01,2
"1350","Birnin_Gwari","Kuyello",2024-03-01,4
"1364","Soba","Maigana",2024-03-01,2
"1365","Jemaa","Maigizo",2024-03-01,2
"1374","Chikun","Narayi",2024-03-01,2
"1381","Ikara","Pala",2024-03-01,2
"1392","Ikara","Rumi",2024-03-01,2
"1393","Jaba","Sab-Chem",2024-03-01,8
"1398","Kudan","Sabon Gari",2024-03-01,4
"1401","Kaduna_South","Sabon Gari West",2024-03-01,2
"1403","Chikun","Sabon Tasha",2024-03-01,2
"1409","Ikara","Saya Saya",2024-03-01,2
"1412","Soba","Soba",2024-03-01,4
"1415","Jemaa","Takau",2024-03-01,2
"1427","Zangon_Kataf","Ung Rimi",2024-03-01,2
"1435","Sanga","Wasa",2024-03-01,2
"1440","Kudan","Zabi",2024-03-01,2
"1442","Zangon_Kataf","Zaman Dabo",2024-03-01,2
"1443","Zangon_Kataf","Zango Urban",2024-03-01,3
"1448","Kubau","Zuntu",2024-03-01,2
"1456","Sabon_Gari","Anguwan Gabas",2024-04-01,2
"1481","Kaduna_North","Dadi Riba",2024-04-01,2
"1492","Kauru","Dawaki",2024-04-01,2
"1500","Kaura","Fada",2024-04-01,2
"1505","Soba","Gamagira",2024-04-01,2
"1507","Kudan","Garu",2024-04-01,2
"1515","Soba","Gimba",2024-04-01,2
"1516","Markafi","Gimi",2024-04-01,2
"1517","Giwa","Giwa",2024-04-01,3
"1534","Ikara","Ikara",2024-04-01,2
"1535","Zangon_Kataf","Ikulu",2024-04-01,2
"1536","Jemaa","Jagindi",2024-04-01,2
"1537","Sabon_Gari","Jamaa",2024-04-01,2
"1541","Sabon_Gari","Jushi",2024-04-01,6
"1547","Kagarko","Kagarko North",2024-04-01,2
"1553","Kajuru","Kallah",2024-04-01,2
"1559","Sanga","Karshi",2024-04-01,2
"1572","Soba","Kinkiba",2024-04-01,2
"1578","Zaria","Kufena",2024-04-01,2
"1584","Kachia","Kurimin Musa",2024-04-01,2
"1585","Kagarko","Kurmin Jibrin",2024-04-01,2
"1586","Ikara","Kurmin Kogi",2024-04-01,2
"1590","Birnin_Gwari","Kuyello",2024-04-01,7
"1593","Zaria","Kwarbai B",2024-04-01,2
"1609","Markafi","Makarfi",2024-04-01,2
"1616","Chikun","Narayi",2024-04-01,2
"1623","Ikara","Pala",2024-04-01,2
"1634","Ikara","Rumi",2024-04-01,3
"1636","Jaba","Sab-Zuro",2024-04-01,4
"1640","Kudan","Sabon Gari",2024-04-01,6
"1646","Sabon_Gari","Samaru",2024-04-01,2
"1651","Ikara","Saya Saya",2024-04-01,2
"1662","Zaria","Tudun Wada",2024-04-01,2
"1663","Kaduna_South","Tudun Wada Nrth",2024-04-01,2
"1669","Zangon_Kataf","Ung Rimi",2024-04-01,2
"1679","Giwa","Yakawada",2024-04-01,2
"1681","Kudan","Zabi",2024-04-01,2
"1683","Zangon_Kataf","Zaman Dabo",2024-04-01,2
"1684","Zangon_Kataf","Zango Urban",2024-04-01,2
"1689","Kubau","Zuntu",2024-04-01,2
"1690","Lere","Abadawa",2024-05-01,2
"1697","Sabon_Gari","Anguwan Gabas",2024-05-01,2
"1699","Sanga","Arak",2024-05-01,2
"1701","Jemaa","Asso",2024-05-01,3
"1703","Kachia","Awon",2024-05-01,2
"1734","Sabon_Gari","Dogarawa",2024-05-01,2
"1737","Kubau","Dutsen-Wai",2024-05-01,2
"1744","Soba","Gamagira",2024-05-01,2
"1745","Giwa","Gangara",2024-05-01,2
"1752","Jemaa","Gidan Waya",2024-05-01,2
"1753","Soba","Gimba",2024-05-01,3
